timestamp,X,Y,Z
2009-10-02T05:21:39.313807,+6166.613850,+1092.901075,-2198.126976
2009-10-02T05:23:19.313806,+5897.797671,+904.756475,-2907.395560
2009-10-02T05:24:59.313806,+5546.183660,+708.864246,-3576.957630
2009-10-02T05:26:39.313806,+5116.516196,+509.062237,-4197.707474
2009-10-02T05:28:19.313805,+4614.649361,+309.160078,-4761.223839
2009-10-02T05:29:59.313805,+4047.460388,+112.871039,-5259.881308
2009-10-02T05:31:39.313805,+3422.749984,-76.252333,-5686.949530
2009-10-02T05:33:19.313804,+2749.130870,-254.878273,-6036.680631
2009-10-02T05:34:59.313804,+2035.904162,-419.951091,-6304.380670
2009-10-02T05:36:39.313804,+1292.930513,-568.740590,-6486.465845
2009-10-02T05:38:19.313804,+530.494730,-698.885226,-6580.507166
2009-10-02T05:39:59.313803,-240.836712,-808.427249,-6585.258283
2009-10-02T05:41:39.313803,-1010.358149,-895.841028,-6500.668786
2009-10-02T05:43:19.313803,-1767.370511,-960.053526,-6327.885380
2009-10-02T05:44:59.313802,-2501.327755,-1000.456596,-6069.236591
2009-10-02T05:46:39.313802,-3201.979798,-1016.912023,-5728.202608
2009-10-02T05:48:19.313802,-3859.513187,-1009.748517,-5309.374733
2009-10-02T05:49:59.313801,-4464.690025,-979.750556,-4818.398369
2009-10-02T05:51:39.313801,-5008.979127,-928.139411,-4261.901809
2009-10-02T05:53:19.313801,-5484.679112,-856.546851,-3647.411589
2009-10-02T05:54:59.313800,-5885.032351,-766.981375,-2983.254923
2009-10-02T05:56:39.313800,-6204.326950,-661.787513,-2278.449127
2009-10-02T05:58:19.313800,-6437.983579,-543.598374,-1542.579808
2009-10-02T05:59:59.313799,-6582.627349,-415.284987,-785.670571
2009-10-02T06:01:39.313799,-6636.142153,-279.897939,-18.042026
2009-10-02T06:03:19.313799,-6597.702270,-140.606459,+749.831959
2009-10-02T06:04:59.313799,-6467.787728,-0.636132,+1507.470401
2009-10-02T06:06:39.313798,-6248.178221,+136.794454,+2244.533123
2009-10-02T06:08:19.313798,-5941.926600,+268.536707,+2950.965854
2009-10-02T06:09:59.313798,-5553.312852,+391.573701,+3617.140919
2009-10-02T06:11:39.313797,-5087.778746,+503.079059,+4233.989843
2009-10-02T06:13:19.313797,-4551.846668,+600.471440,+4793.127088
2009-10-02T06:14:59.313797,-3953.022370,+681.464314,+5286.961975
2009-10-02T06:16:39.313796,-3299.686290,+744.110182,+5708.798827
2009-10-02T06:18:19.313796,-2600.972399,+786.837693,+6052.924771
2009-10-02T06:19:59.313796,-1866.638595,+808.481749,+6314.683595
2009-10-02T06:21:39.313795,-1106.928263,+808.307445,+6490.535122
2009-10-02T06:23:19.313795,-332.427784,+786.025290,+6578.098198
2009-10-02T06:24:59.313795,+446.079065,+741.798728,+6576.180778
2009-10-02T06:26:39.313794,+1217.758646,+676.243665,+6484.794965
2009-10-02T06:28:19.313794,+1971.876158,+590.420528,+6305.158177
2009-10-02T06:29:59.313794,+2697.942816,+485.818354,+6039.678627
2009-10-02T06:31:39.313794,+3385.861365,+364.331080,+5691.927352
2009-10-02T06:33:19.313793,+4026.067207,+228.225798,+5266.593857
2009-10-02T06:34:59.313793,+4609.663399,+80.104195,+4769.427644
2009-10-02T06:36:39.313793,+5128.546823,-77.142886,+4207.164518
2009-10-02T06:38:19.313792,+5575.525875,-240.387146,+3587.440014
2009-10-02T06:39:59.313792,+5944.426758,-406.318729,+2918.688478
2009-10-02T06:41:39.313792,+6230.186391,-571.506833,+2210.028861
2009-10-02T06:43:19.313791,+6428.926088,-732.463840,+1471.137984
2009-10-02T06:44:59.313791,+6538.009047,-885.712058,+712.117574
2009-10-02T06:46:39.313791,+6556.080869,-1027.850134,-56.647211
2009-10-02T06:48:19.313790,+6483.089214,-1155.619534,-824.636624
2009-10-02T06:49:59.313790,+6320.280365,-1265.968807,-1581.345066
2009-10-02T06:51:39.313790,+6070.177454,-1356.114349,-2316.430570
2009-10-02T06:53:19.313789,+5736.537138,-1423.596616,-3019.860346
2009-10-02T06:54:59.313789,+5324.288338,-1466.331046,-3682.050668
2009-10-02T06:56:39.313789,+4839.453327,-1482.651661,-4293.998844
2009-10-02T06:58:19.313788,+4289.053598,-1471.347122,-4847.405019
2009-10-02T06:59:59.313788,+3681.002372,-1431.689627,-5334.783231
2009-10-02T07:01:39.313788,+3023.984665,-1363.455506,-5749.558702
2009-10-02T07:03:19.313788,+2327.329410,-1266.936877,-6086.151033
2009-10-02T07:04:59.313787,+1600.875322,-1142.943973,-6340.044181
2009-10-02T07:06:39.313787,+854.830614,-992.799329,-6507.841698
2009-10-02T07:08:19.313787,+99.630871,-818.324638,-6587.306980
2009-10-02T07:09:59.313786,-654.205230,-621.818300,-6577.389078
2009-10-02T07:11:39.313786,-1396.218584,-406.025824,-6478.235129
2009-10-02T07:13:19.313786,-2116.152808,-174.101676,-6291.187542
2009-10-02T07:14:59.313785,-2804.092735,+70.435482,-6018.766225
2009-10-02T07:16:39.313785,-3450.597461,+323.754117,-5664.637633
2009-10-02T07:18:19.313785,-4046.829589,+581.768217,-5233.570722
2009-10-02T07:19:59.313784,-4584.676447,+840.200423,-4731.376660
2009-10-02T07:21:39.313784,-5056.862818,+1094.649730,-4164.837372
2009-10-02T07:23:19.313784,-5457.054290,+1340.664992,-3541.618266
2009-10-02T07:24:59.313783,-5779.946456,+1573.820129,-2870.167758
2009-10-02T07:26:39.313783,-6021.340520,+1789.790260,-2159.604727
2009-10-02T07:28:19.313783,-6178.203417,+1984.428255,-1419.595781
2009-10-02T07:29:59.313783,-6248.711293,+2153.840493,-660.222609
2009-10-02T07:31:39.313782,-6232.274366,+2294.458837,+108.158554
2009-10-02T07:33:19.313782,-6129.541837,+2403.108338,+875.062361
